fold,macro_f1,micro_f1,Method
0,0.4012372551826442,0.7667638483965015,BERT
1,0.4662984980153814,0.7680680207841285,BERT
2,0.4430612145906631,0.7566793893129771,BERT
3,0.4164462482207564,0.7662582469368521,BERT
4,0.3947193254833421,0.7553735926305015,BERT
0,0.1384798763376288,0.1538461538461538,LLM zero-shot
1,0.1404510959695392,0.1553018924601982,LLM zero-shot
2,0.1419549840503216,0.1568656940893367,LLM zero-shot
3,0.1415958087727509,0.156636438582028,LLM zero-shot
4,0.1409717871723584,0.1558077830188679,LLM zero-shot
0,0.1747090991159881,0.1692878600459445,LLM few-shot
1,0.1784901194488603,0.1726694915254237,LLM few-shot
2,0.1745133450408822,0.1710549258936355,LLM few-shot
3,0.1741317060650704,0.1698428031966277,LLM few-shot
4,0.1745460676329884,0.1697377746279234,LLM few-shot
